Timestamp,Hostname,MacBook_Model,Citrix_Version,WiFi_Status,SSID,Wireless_Signal,Wireless_Channel,Local_IP,Egress_IP,VPN_Tunnel_IP,DNS_Server,DNS_Latency_ms,VPN_Connected,VPN_Name,VPN_Latency_ms,Memory_Free_MB,CPU_Usage_Percent,Latency_Google_ms,Latency_US_East_Coast_ms,Latency_US_West_Coast_ms,Download_Mbps,Upload_Mbps
2025-10-23 18:27:46,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.894,Yes,NordVPN NordLynx,16.060,3858.35,11.19,20.791,40.656,20.279,15.46,5.88
2025-10-23 18:28:37,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,16.340,Yes,NordVPN NordLynx,16.089,3764.79,4.79,23.059,42.018,27.049,54.27,3.77
2025-10-23 18:29:21,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-69,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,N/A,Yes,NordVPN NordLynx,17.049,3835.43,7.31,79.497,158.973,20.936,23.79,3.69
2025-10-23 18:30:13,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-69,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,16.641,Yes,NordVPN NordLynx,17.008,4055.46,4.88,20.978,44.740,20.522,52.53,6.02
2025-10-23 18:30:57,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-65,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,20.585,Yes,NordVPN NordLynx,18.132,4125.53,10.95,19.954,59.964,20.475,19.15,9.67
2025-10-23 18:31:45,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-68,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,14.092,Yes,NordVPN NordLynx,17.706,4307.09,20.26,16.911,39.602,21.536,54.29,3.97
2025-10-23 18:32:32,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-67,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,24.280,Yes,NordVPN NordLynx,17.385,3820.62,4.55,41.904,46.286,37.005,37.52,10.42
2025-10-23 18:33:13,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-65,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.882,Yes,NordVPN NordLynx,17.797,3888.85,9.28,20.204,37.629,19.670,19.56,3.38
2025-10-23 18:34:00,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,19.444,Yes,NordVPN NordLynx,18.321,3988.42,10.31,26.597,40.220,23.539,53.53,1.84
2025-10-23 18:34:52,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-66,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.837,Yes,NordVPN NordLynx,17.353,3953.12,5.57,25.854,49.032,19.450,9.45,2.36
2025-10-23 18:35:50,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,16.809,Yes,NordVPN NordLynx,17.856,4125.89,9.74,118.335,68.459,20.548,N/A,N/A
2025-10-23 18:36:43,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-71,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.368,Yes,NordVPN NordLynx,15.970,4153.40,4.46,18.122,39.657,20.546,47.63,5.65
2025-10-23 18:37:29,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,34.189,Yes,NordVPN NordLynx,18.957,3919.59,8.44,131.683,156.910,26.059,26.64,7.34
2025-10-23 18:38:16,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,25.955,Yes,NordVPN NordLynx,20.365,3780.96,9.70,23.507,47.086,17.040,52.58,5.46
2025-10-23 18:39:02,Mac,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-62,36,192.168.1.217,65.31.177.28,N/A,192.168.1.1,2.548,Yes,NordVPN NordLynx,N/A,3782.60,12.42,24.456,60.852,15.791,6.40,4.16
2025-10-23 18:39:54,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-64,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,25.209,Yes,NordVPN NordLynx,17.279,3836.60,4.94,17.907,38.134,20.777,50.62,7.66
2025-10-23 18:40:40,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,N/A,N/A,N/A,N/A,10.5.0.2,100.64.0.2,N/A,Yes,NordVPN NordLynx,17.048,3747.76,27.46,22.910,162.830,18.863,26.29,9.90
2025-10-23 18:41:19,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-68,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.171,Yes,NordVPN NordLynx,15.805,3604.85,5.5,20.294,37.890,21.526,31.08,10.09
2025-10-23 18:42:00,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,22.120,Yes,NordVPN NordLynx,16.511,3826.50,6.76,18.353,39.008,20.881,49.82,2.24
2025-10-23 18:42:48,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-68,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,22.150,Yes,NordVPN NordLynx,17.040,3812.06,8.54,85.346,130.732,20.137,17.27,5.85
2025-10-23 18:43:33,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-70,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,22.360,Yes,NordVPN NordLynx,15.727,3837.98,4.70,17.420,38.675,21.927,N/A,N/A
2025-10-23 18:44:30,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-64,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,23.721,Yes,NordVPN NordLynx,17.578,3915.10,10.68,17.266,40.908,23.291,45.96,5.75
2025-10-23 18:47:16,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-58,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.123,Yes,NordVPN NordLynx,20.891,3229.25,12.97,129.684,141.950,21.274,18.24,2.66
2025-10-23 18:48:09,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-66,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,18.568,Yes,NordVPN NordLynx,18.467,3690.90,22.85,16.567,39.491,21.099,49.23,5.18
2025-10-23 18:48:56,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-66,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,124.321,Yes,NordVPN NordLynx,18.212,3827.17,14.77,17.458,40.984,19.589,49.50,1.93
2025-10-23 18:50:18,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,18.830,Yes,NordVPN NordLynx,16.950,3000.39,10.77,37.944,N/A,28.707,22.44,7.79
2025-10-23 18:51:03,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-64,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,20.258,Yes,NordVPN NordLynx,20.234,3817.57,33.87,22.845,43.694,24.228,51.27,2.91
2025-10-23 18:51:48,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-65,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,15.799,Yes,NordVPN NordLynx,16.350,3379.32,13.10,144.699,39.222,140.671,21.41,1.75
2025-10-23 18:52:43,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,22.604,Yes,NordVPN NordLynx,26.218,3053.01,18.47,17.102,40.230,23.111,52.40,6.41
2025-10-23 18:53:30,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,31.839,Yes,NordVPN NordLynx,22.789,3008.29,15.87,142.647,144.277,22.006,21.60,4.98
2025-10-23 18:54:17,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-74,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,24.792,Yes,NordVPN NordLynx,15.892,3372.62,13.67,17.809,37.125,19.611,38.30,2.42
2025-10-23 18:55:03,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,18.335,Yes,NordVPN NordLynx,15.359,3586.20,8.77,19.236,39.350,24.452,51.07,3.39
2025-10-23 18:56:38,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-75,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,45.239,Yes,NordVPN NordLynx,69.712,3458.96,12.72,26.654,39.740,19.654,43.73,7.49
2025-10-23 18:57:45,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-61,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,23.128,Yes,NordVPN NordLynx,17.161,3180.43,10.48,16.558,39.867,19.796,29.83,3.97
2025-10-23 18:59:58,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-67,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,26.675,Yes,NordVPN NordLynx,17.346,3372.45,13.26,58.189,155.231,21.345,14.38,4.47
2025-10-23 19:01:36,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-71,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,18.329,Yes,NordVPN NordLynx,17.193,3534.82,13.22,16.633,41.477,20.718,N/A,N/A
2025-10-23 19:02:51,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-64,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.970,Yes,NordVPN NordLynx,17.431,3098.42,8.38,118.138,151.309,18.158,20.30,8.82
2025-10-23 19:03:43,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.577,Yes,NordVPN NordLynx,15.998,3201.59,7.40,21.733,40.684,25.695,24.01,6.50
2025-10-23 19:04:30,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-61,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,19.181,Yes,NordVPN NordLynx,16.674,3563.29,15.56,22.173,40.249,20.981,17.37,6.63
2025-10-23 19:05:18,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-64,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,21.922,Yes,NordVPN NordLynx,21.648,3705.43,7.98,16.721,43.843,19.569,48.94,1.40
2025-10-23 19:06:13,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-67,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,18.786,Yes,NordVPN NordLynx,17.297,3414.64,9.78,79.844,66.543,153.163,16.68,4.13
2025-10-23 19:07:00,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,Connected,suduhaas,-65,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,15.982,Yes,NordVPN NordLynx,17.871,3504.31,14.71,19.340,38.880,20.487,46.78,2.63
