Timestamp,Hostname,MacBook_Model,Citrix_Version,Last_Sleep_Time,Last_Lid_Close_Time,CitrixDiagWifiHistory,WiFi_Status,SSID,Wireless_Signal,Wireless_Channel,Local_IP,Egress_IP,VPN_Tunnel_IP,DNS_Server,DNS_Latency_ms,VPN_Connected,VPN_Name,VPN_Latency_ms,Memory_Free_MB,CPU_Usage_Percent,Latency_Google_ms,Latency_US_East_Coast_ms,Latency_US_West_Coast_ms,Download_Mbps,Upload_Mbps
2025-10-23 19:31:18,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:19:41,2025-10-23 19:19:36,2025-10-23 19:31:16,Connected,suduhaas,-61,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,26.180,Yes,NordVPN NordLynx,16.745,3953.34,8.33,20.155,41.543,24.615,48.37,2.25
2025-10-23 19:32:14,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:19:41,2025-10-23 19:19:36,2025-10-23 19:31:55,Connected,suduhaas,-67,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,28.304,Yes,NordVPN NordLynx,18.075,3791.15,10.11,120.095,158.785,21.465,23.20,6.69
2025-10-23 19:33:03,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:19:41,2025-10-23 19:19:36,2025-10-23 19:32:55,Connected,suduhaas,-61,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,29.293,Yes,NordVPN NordLynx,18.492,3209.70,24.82,19.015,38.142,24.075,N/A,N/A
2025-10-23 19:34:59,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:34:56,Connected,suduhaas,-67,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,N/A,Yes,NordVPN NordLynx,38.747,3014.31,18.81,20.299,44.283,27.840,43.61,3.49
2025-10-23 19:35:54,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:35:36,Connected,suduhaas,-63,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,17.125,Yes,NordVPN NordLynx,16.223,3142.01,23.61,13.453,38.914,25.824,16.11,5.16
2025-10-23 19:36:45,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:36:37,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,20.241,Yes,NordVPN NordLynx,17.775,3905.39,15.80,20.933,41.213,23.919,50.46,8.20
2025-10-23 19:37:31,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:37:12,Connected,suduhaas,-61,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,21.204,Yes,NordVPN NordLynx,25.946,3832.85,25.91,38.309,66.628,33.135,15.14,6.19
2025-10-23 19:38:23,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:38:14,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,18.076,Yes,NordVPN NordLynx,20.189,3469.65,22.91,25.158,40.198,20.982,52.52,6.18
2025-10-23 19:39:10,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:38:51,Connected,suduhaas,-64,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,27.160,Yes,NordVPN NordLynx,17.245,3440.14,11.78,60.246,159.163,22.767,23.51,6.57
2025-10-23 19:40:00,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:39:50,Connected,suduhaas,-67,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,21.048,Yes,NordVPN NordLynx,20.976,3713.48,8.92,22.408,36.784,20.453,48.71,7.23
2025-10-23 19:40:46,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:40:27,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,21.155,Yes,NordVPN NordLynx,17.431,4039.68,8.17,38.438,37.832,24.552,14.84,8.52
2025-10-23 19:41:36,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:33:15,2025-10-23 19:33:10,2025-10-23 19:41:28,Connected,suduhaas,-69,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,N/A,Yes,NordVPN NordLynx,22.618,4049.70,28.57,20.249,40.487,30.511,N/A,N/A
